1685639576,1
1685639579,0
1685639590,1
1685639593,0
1685639604,1
1685639607,0
1685639618,1
1685639621,0
1685639632,1
1685639635,0
1685639646,1
1685639649,0
1685639660,1
1685639663,0
1685639674,1
1685639677,0
1685639688,1
1685639691,0
1685639702,1
1685639705,0
1685639716,1
1685639719,0
1685639730,1
1685639733,0
1685639744,1
1685639747,0
1685639758,1
1685639762,0
1685639773,1
1685639777,0
1685639788,1
1685639791,0
1685639802,1
1685639805,0
1685639816,1
1685639819,0
1685639830,1
1685639833,0
1685639844,1
1685639847,0
1685639858,1
1685639861,0
1685639872,1
1685639875,0
1685639886,1
1685639889,0
1685639900,1
1685639903,0
1685639914,1
1685639917,0
1685639928,1
1685639931,0
